trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
64,BTCUSDT,2025-09-30 20:00:00,2025-10-02 17:30:00,114417.169995,119405.24672214,113687.19975394,119464.97921174,0.03466751,0.00866688,3966.558796,0.2552,100.0,2.1337,ADAPTIVE_BREAKOUT,3.9665588,4.10840294,True,133.76918178,3.3691,STOP LOSS,9318.59037916
65,DOGEUSDT,2025-10-02 16:00:00,2025-10-03 02:00:00,0.25508748,0.25707064,0.2493726,0.25719924,2626.14422015,0.0,669.89651123,0.15,100.0,1.6069,PULLBACK,0.66989651,0.67510459,False,3.86307545,0.5761,STOP LOSS,9993.01986236
66,XRPUSDT,2025-10-03 08:00:00,2025-10-03 13:15:00,3.03541695,3.01368012,2.99551651,3.01518772,751.34650947,0.0,2280.64993018,0.3,100.0,1.9209,PULLBACK,2.28064993,2.26431804,False,-20.87685622,-0.9145,STOP LOSS,7261.24548775
67,ETHUSDT,2025-10-03 09:00:00,2025-10-03 13:15:00,4468.47312,4456.69689264,4434.85354382,4458.92635582,0.60606593,0.0,2708.18932906,0.2037,100.0,3.2409,PULLBACK,2.70818933,2.70105216,False,-12.54641171,-0.4628,STOP LOSS,9959.59659443
68,SOLUSDT,2025-10-03 15:00:00,2025-10-03 17:15:00,230.605245,230.83567729,226.85133574,230.95115287,7.95937988,0.0,1835.47474615,0.3,100.0,1.8614,PULLBACK,1.83547475,1.83730884,False,-1.83868545,-0.1001,STOP LOSS,9957.75790898
69,BTCUSDT,2025-10-04 04:00:00,2025-10-04 11:00:00,122305.111995,122078.22750282,121563.75707721,122139.2971514,0.03256694,0.0,3983.10316359,0.2425,95.0,1.9362,IGNITION,3.98310316,3.97571423,False,-15.34775089,-0.3849,STOP LOSS,8951.17876531
70,ETHUSDT,2025-10-04 06:00:00,2025-10-04 12:15:00,4506.302025,4474.72394377,4473.9520503,4476.96242499,0.21974585,0.0,990.24115164,0.0714,89.0,1.9772,IGNITION,0.99024115,0.983302,False,-8.91269533,-0.8992,STOP LOSS,9933.49746276
71,BTCUSDT,2025-10-05 02:00:00,2025-10-05 03:30:00,122438.898855,123421.95989028,121655.0510093,123483.70174115,0.0324521,0.00811302,3973.39898511,0.2561,100.0,2.0881,PULLBACK,3.97339899,4.0095415,True,28.15957214,0.708,STOP LOSS,7988.74871501
72,ETHUSDT,2025-10-05 03:00:00,2025-10-05 09:45:00,4551.184455,4555.73222607,4495.582984,4558.01123168,0.43306032,0.0,1970.93738251,0.2413,100.0,2.2603,ADAPTIVE_BREAKOUT,1.97093738,1.97147386,False,-3.40593156,-0.1726,STOP LOSS,8734.79674668
73,LINKUSDT,2025-10-05 08:00:00,2025-10-05 10:15:00,22.821405,22.52870569,22.53997568,22.53997568,106.42186951,0.0,2428.69658501,0.3,100.0,2.2622,ADAPTIVE_BREAKOUT,2.42869659,2.40765329,False,-25.87964155,-1.0645,STOP LOSS,9932.3714618
74,SOLUSDT,2025-10-05 12:00:00,2025-10-05 14:45:00,232.77633,230.22079678,230.33596477,230.33596477,10.66729107,0.0,2483.09286545,0.2621,100.0,2.0475,IGNITION,2.48309287,2.45583225,False,-32.19954175,-1.2955,STOP LOSS,9900.17192004
75,BTCUSDT,2025-10-06 00:00:00,2025-10-06 00:30:00,123544.06116,123598.82967,122748.73012431,123729.37725174,0.0320539,0.0,3960.06876802,0.2575,99.0,1.9515,IGNITION,3.96006877,3.96182431,False,-6.16634883,-0.1556,EMERGENCY STOP EXIT,9894.00557121
76,ETHUSDT,2025-10-06 07:00:00,2025-10-06 07:45:00,4562.54013,4526.84855723,4529.11311378,4529.11311378,0.6201312,0.0,2829.37348163,0.2093,100.0,2.1681,ADAPTIVE_BREAKOUT,2.82937348,2.80724002,False,-27.77007133,-0.9805,STOP LOSS,7754.19366758
77,SOLUSDT,2025-10-06 03:00:00,2025-10-06 21:30:00,232.486185,232.71849682,229.21562502,232.83491428,9.07551518,0.0,2109.9319004,0.3,100.0,2.0863,IGNITION,2.1099319,2.11204025,False,-2.1136227,-0.1001,STOP LOSS,7756.32121067
78,BTCUSDT,2025-10-06 09:00:00,2025-10-07 02:30:00,123908.48328,124145.74655541,123159.05413678,124207.85048065,0.02273111,0.00568278,2816.57750779,0.1725,100.0,1.9356,IGNITION,2.81657751,2.8287838,True,6.56092966,0.2327,STOP LOSS,9870.68280685
79,ETHUSDT,2025-10-07 08:00:00,2025-10-07 08:15:00,4680.5391,4647.16058151,4649.48532418,4649.48532418,0.73810707,0.0,3454.7389824,0.2322,100.0,3.0055,PULLBACK,3.45473898,3.43010206,False,-31.52176139,-0.9115,STOP LOSS,9839.16104546
80,LINKUSDT,2025-10-07 13:00:00,2025-10-07 13:45:00,23.041515,22.66866,22.67192978,22.67192978,79.86651505,0.0,1840.24550444,0.3,100.0,2.213,PULLBACK,1.8402455,1.81046687,False,-33.42934185,-1.8148,MARKET SEVERE SHOCK,9805.73170361
81,BTCUSDT,2025-10-08 17:00:00,2025-10-08 19:15:00,123112.54551,123235.5657211,122355.89755034,123297.21432827,0.03185941,0.0,3922.29268144,0.2458,100.0,1.9398,IGNITION,3.92229268,3.92621203,False,-3.92915375,-0.1001,STOP LOSS,9801.80254986
82,BTCUSDT,2025-10-09 13:00:00,2025-10-09 14:00:00,123625.16169,122354.53213,122470.81565229,122470.81565229,0.01337367,0.0,1653.32169224,0.1575,100.0,2.0287,IGNITION,1.65332169,1.63632872,False,-20.28262648,-1.2256,HARD DRAWDOWN LOCK,9781.51992338
