signal_first_true_time,signal_evaluated_time,order_fill_time,signal_first_true_to_fill_hours,signal_evaluation_to_fill_minutes,symbol,route,quality_episode_id,emission_number_in_same_episode,stale_same_episode_retrigger,selection_rank,selection_score,raw_signal_close,raw_next_candle_open,slipped_entry_price,opening_gap_atr,theoretical_rr_at_signal_close,actual_rr_after_gap_and_slippage,estimated_round_trip_cost_percent,gross_projected_target_move_percent,cost_as_percent_of_projected_target_move,actual_trade_entered,entry_or_reject_reason
2026-03-15 20:00:00,2026-03-15 20:00:00,2026-03-15 20:00:00,0.0,0.0,LINKUSDT,IGNITION,24,1,False,1,100.0,9.19,9.19,9.194595,0.063757,2.2,1.988304,0.3,1.502008,19.9733,False,POST_EXIT_COOLDOWN_UNTIL_2026-03-16 01:15:00
2026-03-15 22:00:00,2026-03-15 22:00:00,2026-03-15 22:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,40,1,False,1,100.0,90.0,90.0,90.045,0.064268,2.4,2.295572,0.3,3.735115,8.0319,True,EXECUTED
2026-03-16 21:00:00,2026-03-16 21:00:00,2026-03-16 21:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,41,1,False,1,100.0,95.78,95.77,95.817885,0.035294,2.4,2.284091,0.3,2.649089,11.3246,True,EXECUTED
2026-03-17 15:00:00,2026-03-17 15:00:00,2026-03-17 15:00:00,0.0,0.0,LINKUSDT,IGNITION,25,1,False,1,100.0,9.86,9.87,9.874935,0.1403,2.2,1.892523,0.3,2.978861,10.071,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2026-03-17 19:00:00,2026-03-17 19:00:00,2026-03-17 19:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,42,1,False,1,100.0,95.32,95.33,95.377665,0.053902,2.4,2.226107,0.3,2.631527,11.4002,True,EXECUTED
2026-03-24 08:00:00,2026-03-24 08:00:00,2026-03-24 08:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,43,1,False,1,100.0,91.72,91.71,91.755855,0.037779,2.4,2.276228,0.3,2.443358,12.2782,True,EXECUTED
2026-03-25 20:00:00,2026-03-25 20:00:00,2026-03-25 20:00:00,0.0,0.0,LINKUSDT,IGNITION,26,1,False,1,100.0,9.35,9.35,9.354675,0.051147,2.2,2.027922,0.3,1.884638,15.9182,True,EXECUTED
2026-04-09 18:00:00,2026-04-09 18:00:00,2026-04-09 18:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,45,1,False,1,100.0,84.65,84.65,84.692325,0.053981,2.4,2.24405,0.3,2.445005,12.2699,True,EXECUTED
2026-04-10 05:00:00,2026-04-10 05:00:00,2026-04-10 05:00:00,0.0,0.0,LINKUSDT,IGNITION,27,1,False,1,100.0,8.97,8.97,8.974485,0.051875,2.2,2.025609,0.3,1.857522,16.1505,True,EXECUTED
2026-04-10 13:00:00,2026-04-10 13:00:00,2026-04-10 13:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,46,1,False,1,100.0,84.11,84.11,84.152055,0.060767,2.4,2.216046,0.3,2.046925,14.6561,True,EXECUTED
2026-04-11 20:00:00,2026-04-11 20:00:00,2026-04-11 20:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,48,1,False,1,100.0,86.01,86.01,86.053005,0.072914,2.4,2.168939,0.3,1.594974,18.8091,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2026-04-15 12:00:00,2026-04-15 12:00:00,2026-04-15 12:00:00,0.0,0.0,LINKUSDT,IGNITION,29,1,False,1,100.0,9.14,9.15,9.154575,0.18528,2.2,1.838936,0.3,2.594795,11.5616,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2026-04-17 14:00:00,2026-04-17 14:00:00,2026-04-17 14:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,49,1,False,1,100.0,90.12,90.13,90.175065,0.055805,2.4,2.248663,0.3,3.084942,9.7247,False,MARKET_SHOCK_ENTRY_FREEZE
2026-04-21 16:00:00,2026-04-21 16:00:00,2026-04-21 16:00:00,0.0,0.0,LINKUSDT,IGNITION,30,1,False,1,100.0,9.42,9.42,9.42471,0.055921,2.2,2.051588,0.3,2.21067,13.5705,True,EXECUTED
2026-04-22 03:00:00,2026-04-22 03:00:00,2026-04-22 03:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,50,1,False,1,100.0,87.42,87.42,87.46371,0.057617,2.4,2.255558,0.3,2.653342,11.3065,True,EXECUTED
2026-04-24 00:00:00,2026-04-24 00:00:00,2026-04-24 00:00:00,0.0,0.0,LINKUSDT,IGNITION,31,1,False,1,100.0,9.35,9.35,9.354675,0.066926,2.2,1.978512,0.3,1.428535,21.0005,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2026-04-24 21:00:00,2026-04-24 21:00:00,2026-04-24 21:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,53,1,False,1,100.0,86.85,86.85,86.893425,0.076168,2.4,2.159358,0.3,1.524704,19.6759,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2026-04-25 10:00:00,2026-04-25 10:00:00,2026-04-25 10:00:00,0.0,0.0,LINKUSDT,IGNITION,32,1,False,1,100.0,9.43,9.42,9.42471,-0.109708,2.2,2.581659,0.3,1.214958,24.6922,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2026-04-26 15:00:00,2026-04-26 15:00:00,2026-04-26 15:00:00,0.0,0.0,LINKUSDT,IGNITION,33,1,False,1,100.0,9.48,9.48,9.48474,0.099818,2.2,2.039045,0.3,2.025929,14.808,True,EXECUTED
