window,symbol,route,entry_time,exit_time,exit_reason,profit,realized_r,strict_mfe_r,strict_mae_r,strict_mfe_percent,strict_mae_percent,reached_0_5r,reached_1r,reached_2r,partial_profit_taken,bars_before_exit
2024,SOLUSDT,ADAPTIVE_BREAKOUT,2024-02-09 03:00:00,2024-02-09 04:00:00,STOP LOSS,-35.60768192,-1.1912720575502778,0.06362491435612257,1.0383263465001538,0.08249685627695567,1.34630687117863,False,False,False,False,4
2024,LINKUSDT,IGNITION,2024-02-10 18:00:00,2024-02-12 02:15:00,STOP LOSS,154.01504929,7.064972831125841,13.845665120914916,0.18042142368298758,12.161015828585015,0.15846893378276866,True,True,True,True,129
2024,LINKUSDT,IGNITION,2024-02-14 03:00:00,2024-02-14 05:00:00,STOP LOSS,-34.32610045,-1.2229506241604866,0.155763830198479,1.106041349311145,0.17346021475104884,1.2316991032551305,False,False,False,False,8
2024,SOLUSDT,ADAPTIVE_BREAKOUT,2024-02-15 01:00:00,2024-02-15 01:45:00,STOP LOSS,-36.15684018,-1.1924502849575913,0.0,1.3929629925324982,0.0,1.795161073472415,False,False,False,False,3
2024,LINKUSDT,IGNITION,2024-02-16 06:00:00,2024-02-16 07:30:00,STOP LOSS,-34.72926192,-1.2191461635157694,0.42757182493885226,1.1927628776864714,0.4843583554228142,1.351175713994307,False,False,False,False,6
2024,LINKUSDT,IGNITION,2024-02-18 10:00:00,2024-02-18 23:45:00,STOP LOSS,-2.1378121,-0.07108996271802735,1.0389694983899276,0.8766344351578457,1.4640420085936021,1.2352909697923935,True,True,False,False,55
2024,LINKUSDT,IGNITION,2024-03-01 23:00:00,2024-03-02 08:30:00,STOP LOSS,81.93752535,2.7335745614835356,4.863829716551364,0.06956988613097037,7.3435336220806295,0.10503838079457704,True,True,True,True,38
2024,LINKUSDT,IGNITION,2024-03-11 21:00:00,2024-03-12 04:00:00,STOP LOSS,-31.44102604,-1.050168790573665,0.5546022360742658,1.3842756079677312,0.9567226552864547,2.387959782992681,True,False,False,False,28
2024,LINKUSDT,IGNITION,2024-03-13 07:00:00,2024-03-13 12:30:00,STOP LOSS,-27.02576622,-0.9055466613336199,0.47393111159136775,0.7168262913048767,0.5882999826250057,0.8898105323868495,False,False,False,False,22
2024,LINKUSDT,IGNITION,2024-03-26 15:00:00,2024-03-26 16:45:00,STOP LOSS,-32.40299013,-1.0886776900754733,0.0,1.0921973815351,0.0,3.0273145062131737,False,False,False,False,7
