decision_time,state,score,btc_score,eth_score,breadth_score,new_entries_allowed,altcoins_allowed,risk_multiplier,reasons
2026-07-06 14:00:00,NEUTRAL,50.17027777777778,47.75,75.7,38.88888888888889,True,False,0.35,BTC composite 47.8 | ETH confirmation 75.7 | breadth 38.9
2026-07-06 15:00:00,NEUTRAL,48.869166666666665,48.15,72.7,33.33333333333333,True,False,0.35,BTC composite 48.1 | ETH confirmation 72.7 | breadth 33.3
2026-07-06 16:00:00,BULL,73.54305555555555,69.25,86.5,77.77777777777779,True,True,0.75,BTC composite 69.2 | ETH confirmation 86.5 | breadth 77.8
2026-07-06 17:00:00,BULL,74.65416666666667,69.25,86.5,83.33333333333334,True,True,0.75,BTC composite 69.2 | ETH confirmation 86.5 | breadth 83.3
2026-07-06 18:00:00,BULL,75.10416666666667,69.25,89.5,83.33333333333334,True,True,0.75,BTC composite 69.2 | ETH confirmation 89.5 | breadth 83.3
2026-07-06 19:00:00,BULL,75.94305555555556,72.25,89.5,77.77777777777779,True,True,0.75,BTC composite 72.2 | ETH confirmation 89.5 | breadth 77.8
2026-07-06 20:00:00,BULL,76.40416666666667,71.25,89.5,83.33333333333334,True,True,0.75,BTC composite 71.2 | ETH confirmation 89.5 | breadth 83.3
2026-07-06 21:00:00,BULL,76.40416666666667,71.25,89.5,83.33333333333334,True,True,0.75,BTC composite 71.2 | ETH confirmation 89.5 | breadth 83.3
2026-07-06 22:00:00,BULL,77.51527777777778,71.25,89.5,88.88888888888889,True,True,0.75,BTC composite 71.2 | ETH confirmation 89.5 | breadth 88.9
2026-07-06 23:00:00,BULL,76.40416666666667,71.25,89.5,83.33333333333334,True,True,0.75,BTC composite 71.2 | ETH confirmation 89.5 | breadth 83.3
2026-07-07 00:00:00,BULL,79.84305555555557,78.25,89.5,77.77777777777779,True,True,0.75,BTC composite 78.2 | ETH confirmation 89.5 | breadth 77.8
2026-07-07 01:00:00,BULL,79.84305555555557,78.25,89.5,77.77777777777779,True,True,0.75,BTC composite 78.2 | ETH confirmation 89.5 | breadth 77.8
2026-07-07 02:00:00,BULL,79.84305555555557,78.25,89.5,77.77777777777779,True,True,0.75,BTC composite 78.2 | ETH confirmation 89.5 | breadth 77.8
2026-07-07 03:00:00,BULL,74.60972222222223,76.25,85.5,61.111111111111114,True,True,0.75,BTC composite 76.2 | ETH confirmation 85.5 | breadth 61.1
2026-07-07 04:00:00,NEUTRAL,62.749722222222225,59.85,77.5,61.111111111111114,True,False,0.35,BTC composite 59.9 | ETH confirmation 77.5 | breadth 61.1
2026-07-07 05:00:00,NEUTRAL,61.969722222222224,58.65,77.5,61.111111111111114,True,False,0.35,BTC composite 58.6 | ETH confirmation 77.5 | breadth 61.1
2026-07-07 06:00:00,NEUTRAL,64.71472222222222,63.15,76.3,61.111111111111114,True,False,0.35,BTC composite 63.1 | ETH confirmation 76.3 | breadth 61.1
2026-07-07 07:00:00,BULL,67.72583333333334,65.15,80.3,66.66666666666666,True,True,0.75,BTC composite 65.2 | ETH confirmation 80.3 | breadth 66.7
2026-07-07 08:00:00,NEUTRAL,59.5675,58.65,76.3,50.0,True,False,0.35,BTC composite 58.6 | ETH confirmation 76.3 | breadth 50.0
2026-07-07 09:00:00,NEUTRAL,63.38972222222222,60.65,78.3,61.111111111111114,True,False,0.35,BTC composite 60.6 | ETH confirmation 78.3 | breadth 61.1
2026-07-07 10:00:00,BULL,68.17583333333333,65.15,83.3,66.66666666666666,True,True,0.75,BTC composite 65.2 | ETH confirmation 83.3 | breadth 66.7
2026-07-07 11:00:00,BULL,67.06472222222223,65.15,83.3,61.111111111111114,True,True,0.75,BTC composite 65.2 | ETH confirmation 83.3 | breadth 61.1
2026-07-07 12:00:00,BULL,69.95583333333335,67.15,86.5,66.66666666666666,True,True,0.75,BTC composite 67.2 | ETH confirmation 86.5 | breadth 66.7
2026-07-07 13:00:00,BULL,71.06694444444446,67.15,86.5,72.22222222222221,True,True,0.75,BTC composite 67.2 | ETH confirmation 86.5 | breadth 72.2
2026-07-07 14:00:00,BULL,68.56694444444445,65.15,78.5,72.22222222222221,True,True,0.75,BTC composite 65.2 | ETH confirmation 78.5 | breadth 72.2
2026-07-07 15:00:00,BULL,70.16694444444445,67.15,80.5,72.22222222222221,True,True,0.75,BTC composite 67.2 | ETH confirmation 80.5 | breadth 72.2
2026-07-07 16:00:00,BULL,68.84472222222223,67.15,86.5,61.111111111111114,True,True,0.75,BTC composite 67.2 | ETH confirmation 86.5 | breadth 61.1
2026-07-07 17:00:00,BULL,68.84472222222223,67.15,86.5,61.111111111111114,True,True,0.75,BTC composite 67.2 | ETH confirmation 86.5 | breadth 61.1
2026-07-07 18:00:00,BULL,71.06694444444446,67.15,86.5,72.22222222222221,True,True,0.75,BTC composite 67.2 | ETH confirmation 86.5 | breadth 72.2
2026-07-07 19:00:00,NEUTRAL,63.911388888888894,65.15,84.5,44.44444444444444,True,False,0.35,BTC composite 65.2 | ETH confirmation 84.5 | breadth 44.4
2026-07-07 20:00:00,BULL,65.1225,67.15,76.5,50.0,True,True,0.75,BTC composite 67.2 | ETH confirmation 76.5 | breadth 50.0
2026-07-07 21:00:00,NEUTRAL,62.71138888888889,65.15,76.5,44.44444444444444,True,False,0.35,BTC composite 65.2 | ETH confirmation 76.5 | breadth 44.4
2026-07-07 22:00:00,NEUTRAL,59.67527777777778,62.65,74.5,38.88888888888889,True,False,0.35,BTC composite 62.6 | ETH confirmation 74.5 | breadth 38.9
2026-07-07 23:00:00,NEUTRAL,60.786388888888894,62.65,74.5,44.44444444444444,True,False,0.35,BTC composite 62.6 | ETH confirmation 74.5 | breadth 44.4
