open_time,symbol,rank,regime,regime_score,relative_score,momentum_24h,momentum_72h,selected,capital_percent,portfolio_deployed_percent
2026-06-16 22:00:00,ETHUSDT,1,STRONG,87.0,84.98,0.3649,6.8136,True,30.0,50.0
2026-06-16 22:00:00,SOLUSDT,2,STRONG,80.0,78.5,0.0813,7.1543,True,20.0,50.0
2026-06-16 22:00:00,LINKUSDT,3,STRONG,80.0,76.83,0.4475,4.0591,False,0.0,50.0
2026-06-16 22:00:00,BTCUSDT,4,ACTIVE,69.0,48.55,-0.644,2.0534,False,0.0,50.0
2026-06-16 22:00:00,XRPUSDT,5,WATCH,56.0,45.2,-1.4756,6.2429,False,0.0,50.0
2026-06-16 22:00:00,DOGEUSDT,6,SLEEP,0.0,10.83,-0.7612,-0.5692,False,0.0,50.0
2026-06-16 23:00:00,ETHUSDT,1,STRONG,87.0,84.98,-0.1748,6.6507,True,30.0,30.0
2026-06-16 23:00:00,SOLUSDT,2,ACTIVE,74.0,67.47,-0.6218,6.6435,False,0.0,30.0
2026-06-16 23:00:00,LINKUSDT,3,ACTIVE,74.0,64.97,-0.2771,3.6309,False,0.0,30.0
2026-06-16 23:00:00,XRPUSDT,4,WATCH,56.0,46.03,-1.6879,5.7878,False,0.0,30.0
2026-06-16 23:00:00,BTCUSDT,5,WATCH,55.0,43.08,-0.9856,1.8881,False,0.0,30.0
2026-06-16 23:00:00,DOGEUSDT,6,SLEEP,0.0,11.67,-1.1005,-0.8079,False,0.0,30.0
2026-06-17 00:00:00,ETHUSDT,1,STRONG,87.0,87.48,0.2582,6.6775,True,50.0,50.0
2026-06-17 00:00:00,LINKUSDT,2,STRONG,80.0,71.83,0.1207,4.0914,False,0.0,50.0
2026-06-17 00:00:00,SOLUSDT,3,ACTIVE,74.0,63.3,-0.9049,6.72,False,0.0,50.0
2026-06-17 00:00:00,XRPUSDT,4,WATCH,52.0,42.57,-1.5874,5.716,False,0.0,50.0
2026-06-17 00:00:00,BTCUSDT,5,WATCH,45.0,38.58,-0.8302,1.7579,False,0.0,50.0
2026-06-17 00:00:00,DOGEUSDT,6,SLEEP,0.0,20.83,-0.4102,-0.3421,False,0.0,50.0
2026-06-17 01:00:00,ETHUSDT,1,STRONG,87.0,85.82,0.3063,6.756,True,30.0,50.0
2026-06-17 01:00:00,LINKUSDT,2,STRONG,85.0,79.08,1.126,4.7667,True,20.0,50.0
2026-06-17 01:00:00,SOLUSDT,3,ACTIVE,70.0,71.5,0.0677,7.4252,False,0.0,50.0
2026-06-17 01:00:00,XRPUSDT,4,ACTIVE,69.0,52.72,-0.5535,6.0411,False,0.0,50.0
2026-06-17 01:00:00,BTCUSDT,5,WATCH,54.0,38.47,-0.6127,2.1328,False,0.0,50.0
2026-06-17 01:00:00,DOGEUSDT,6,SLEEP,25.0,25.42,-0.1138,-0.0456,False,0.0,50.0
2026-06-17 02:00:00,ETHUSDT,1,STRONG,92.0,87.23,1.4383,6.7234,True,30.0,50.0
2026-06-17 02:00:00,LINKUSDT,2,STRONG,90.0,82.17,2.3469,5.1488,True,20.0,50.0
